fp	LawNum	LawTitle	LawType	Era	Year	Num
昭和25年/325M50000041001_20161001_000000000000000.xml	昭和二十五年法務府・大蔵省令第一号	国外居住外国人等に対する債務の弁済のためにする供託の特例に関する政令の施行に関する命令	MinisterialOrdinance	Showa	25	001
平成9年/409M50000400053_20170401_999M50000400053.xml	平成九年通商産業省令第五十三号	発電用風力設備に関する技術基準を定める省令	MinisterialOrdinance	Heisei	09	53
平成25年/425M60080000028_20180608_430M60080000006.xml	平成二十五年原子力規制委員会規則第二十八号	再処理施設に係る再処理事業者の設計及び工事に係る品質管理の方法及びその検査のための組織の技術基準に関する規則	Rule	Heisei	25	28
平成27年/427M60000110001_20161001_000000000000000.xml	平成二十七年法務省・厚生労働省令第一号	法務省・厚生労働省関係国家戦略特別区域法施行規則	MinisterialOrdinance	Heisei	27	1
平成24年/424M6000054a001_20161001_000000000000000.xml	平成二十四年内閣府・総務省・財務省・厚生労働省・経済産業省令第一号	株式会社地域経済活性化支援機構法第二十五条第一項第一号に規定するおそれがある旨の認定の申請手続に関する命令	MinisterialOrdinance	Heisei	24	1
昭和33年/333M50000040022_20190701_501M60000040010.xml	昭和三十三年大蔵省令第二十二号	たばこ耕作組合法施行規則	MinisterialOrdinance	Showa	33	022
昭和36年/336AC0000000202_20150801_000000000000000.xml	昭和三十六年法律第二百二号	農業近代化資金融通法	Act	Showa	36	202
平成21年/421AC0000000064_20150801_000000000000000.xml	平成二十一年法律第六十四号	特定地域及び準特定地域における一般乗用旅客自動車運送事業の適正化及び活性化に関する特別措置法	Act	Heisei	21	64
昭和8年/308IO0000000309_20150801_000000000000000.xml	昭和八年勅令第三百九号	農業用動産抵当権実行令	ImperialOrder	Showa	08	309
平成27年/427M60000402001_20180925_430M60000402005.xml	平成二十七年内閣府・経済産業省令第一号	産業競争力強化法施行令第四条に規定する内閣府令・経済産業省令で定める基準等を定める命令	MinisterialOrdinance	Heisei	27	1
平成5年/405M50000502001_20161001_000000000000000.xml	平成五年総理府・厚生省・通商産業省令第一号	特定有害廃棄物等の輸出入等の規制に関する法律施行規則	MinisterialOrdinance	Heisei	05	1
平成9年/409AC0000000118_20150801_000000000000000.xml	平成九年法律第百十八号	平成十七年に開催される国際博覧会の準備及び運営のために必要な特別措置に関する法律	Act	Heisei	09	118
昭和22年/322AC0000000141_20200330_429AC0000000014.xml	昭和二十二年法律第百四十一号	職業安定法	Act	Showa	22	141
昭和48年/348AC0000000053_20200401_429AC0000000045.xml	昭和四十八年法律第五十三号	農水産業協同組合貯金保険法	Act	Showa	48	53
平成14年/414AC0000000182_20190401_430AC0000000043.xml	平成十四年法律第百八十二号	独立行政法人水資源機構法	Act	Heisei	14	182
昭和48年/348CO0000000334_20191001_501CO0000000117.xml	昭和四十八年政令第三百三十四号	覚せい剤取締法施行令	CabinetOrder	Showa	48	334
昭和55年/355M50000400030_20161001_000000000000000.xml	昭和五十五年通商産業省令第三十号	経済産業省特定業種石油等消費統計調査規則	MinisterialOrdinance	Showa	55	030
令和元年/501AC0000000015_20191123_000000000000000.xml	令和元年法律第十五号	表題部所有者不明土地の登記及び管理の適正化に関する法律	Act	Reiwa	01	015
平成21年/421CO0000000111_20150801_000000000000000.xml	平成二十一年政令第百十一号	独立行政法人に係る改革を推進するための文部科学省関係法律の整備等に関する法律の施行に伴う関係政令の整備及び経過措置に関する政令　抄	CabinetOrder	Heisei	21	111
平成10年/410M50004800002_20190701_501M60000800020.xml	平成十年運輸省・建設省令第二号	軌道の建設及び改良の事業に係る環境影響評価の項目並びに当該項目に係る調査、予測及び評価を合理的に行うための手法を選定するための指針、環境の保全のための措置に関する指針等を定める省令	MinisterialOrdinance	Heisei	10	002
大正6年/206M10000020002_20161001_000000000000000.xml	大正六年外務省令第二号	大正六年外務省令第二号（外務省主管歳入証券納付ニ関スル件）	MinisterialOrdinance	Taisho	06	2
平成15年/415M60000080047_20161001_000000000000000.xml	平成十五年文部科学省令第四十七号	国立研究開発法人科学技術振興機構に関する省令	MinisterialOrdinance	Heisei	15	047
平成20年/420M60000100164_20161001_000000000000000.xml	平成二十年厚生労働省令第百六十四号	日本年金機構法附則第五条第三項に規定する厚生労働省令で定める規則等を定める省令	MinisterialOrdinance	Heisei	20	164
平成19年/419CO0000000373_20150801_000000000000000.xml	平成十九年政令第三百七十三号	消費生活協同組合法施行令	CabinetOrder	Heisei	19	373
平成2年/402M50000800020_20161001_000000000000000.xml	平成二年運輸省令第二十号	貨物利用運送事業法施行規則	MinisterialOrdinance	Heisei	02	020
平成7年/407AC0000000100_20150801_000000000000000.xml	平成七年法律第百号	平成七年度における公債の発行の特例に関する法律	Act	Heisei	07	100
昭和54年/354AC0000000033_20171223_427AC0000000047.xml	昭和五十四年法律第三十三号	特定ガス消費機器の設置工事の監督に関する法律	Act	Showa	54	33
平成27年/427M60000008045_20161001_000000000000000.xml	平成二十七年総務省令第四十五号	地方団体に対して交付すべき平成二十七年度分の震災復興特別交付税の額の算定方法、決定時期及び決定額並びに交付時期及び交付額等の特例に関する省令	MinisterialOrdinance	Heisei	27	045
昭和32年/332M50000040059_20190507_501M60000042001.xml	昭和三十二年大蔵省令第五十九号	指定金融機関の日本銀行預け金の額が不足する場合における日本銀行の政府に対する納付金の納付手続に関する命令	MinisterialOrdinance	Showa	32	059
昭和38年/338AC0000000081_20171223_427AC0000000047.xml	昭和三十八年法律第八十一号	共同溝の整備等に関する特別措置法	Act	Showa	38	81
平成25年/425CO0000000061_20150801_000000000000000.xml	平成二十五年政令第六十一号	平成二十四年等における特定地域に係る激甚災害及びこれに対し適用すべき措置の指定に関する政令	CabinetOrder	Heisei	25	61
昭和27年/327AC0000000310_20150801_000000000000000.xml	昭和二十七年法律第三百十号	地方制度調査会設置法	Act	Showa	27	310
平成20年/420CO0000000037_20170801_429CO0000000214.xml	平成二十年政令第三十七号	社会保障協定の実施に伴う国家公務員共済組合法等の特例に関する政令	CabinetOrder	Heisei	20	37
平成13年/413M60001600001_20190712_501M60001600004.xml	平成十三年農林水産省・経済産業省・環境省令第一号	食品循環資源の再生利用等の促進に関する法律に基づく再生利用事業を行う者の登録に関する省令	MinisterialOrdinance	Heisei	13	001
平成28年/428CO0000000028_20160401_000000000000000.xml	平成二十八年政令第二十八号	存続都道府県中央会等の組織変更の登記に関する政令	CabinetOrder	Heisei	28	028
昭和26年/326M50000800091_20190521_501M60000800004.xml	昭和二十六年運輸省令第九十一号	船舶職員及び小型船舶操縦者法施行規則	MinisterialOrdinance	Showa	26	091
昭和42年/342CO0000000013_20150801_000000000000000.xml	昭和四十二年政令第十三号	首都圏近郊緑地保全法施行令	CabinetOrder	Showa	42	13
昭和28年/328M50000400010_20170901_429M60000400064.xml	昭和二十八年通商産業省令第十号	経済産業省生産動態統計調査規則	MinisterialOrdinance	Showa	28	10
昭和34年/334M50002000023_20180501_429M60000100134.xml	昭和三十四年労働省令第二十三号	中小企業退職金共済法施行規則	MinisterialOrdinance	Showa	34	23
平成18年/418CO0000000207_20150801_000000000000000.xml	平成十八年政令第二百七号	簡素で効率的な政府を実現するための行政改革の推進に関する法律第五十三条第一項の法人並びに同法第五十四条第一項の特殊法人及び認可法人を定める政令	CabinetOrder	Heisei	18	207
平成22年/422M60000040052_20170601_999M60000040052.xml	平成二十二年財務省令第五十二号	平成二十二年四月以降において発生が確認された口蹄疫に起因して生じた事態に対処するための手当金等についての所得税及び法人税の臨時特例に関する法律施行規則	MinisterialOrdinance	Heisei	22	52
昭和44年/344M50000020007_20161001_000000000000000.xml	昭和四十四年外務省令第七号	住居手当の支給に関する規則	MinisterialOrdinance	Showa	44	7
平成17年/417CO0000000011_20190401_430CO0000000339.xml	平成十七年政令第十一号	船舶登記令	CabinetOrder	Heisei	17	11
平成23年/423M60000100144_20190701_501M60000100020.xml	平成二十三年厚生労働省令第百四十四号	特定Ｂ型肝炎ウイルス感染者給付金等の支給に関する特別措置法施行規則	MinisterialOrdinance	Heisei	23	144
平成13年/413M60000002093_20190401_431M60002000007.xml	平成十三年内閣府令第九十三号	独立行政法人駐留軍等労働者労務管理機構の業務運営並びに財務及び会計に関する省令	MinisterialOrdinance	Heisei	13	93
平成30年/430M60000800002_20190901_430M60000800090.xml	平成三十年国土交通省令第二号	放射性同位元素等の規制に関する法律第三十一条の二に規定する国土交通大臣への報告に関する規則	MinisterialOrdinance	Heisei	30	002
令和元年/501M60000200004_20190524_000000000000000.xml	令和元年農林水産省令第四号	農林水産省関係アイヌの人々の誇りが尊重される社会を実現するための施策の推進に関する法律施行規則	MinisterialOrdinance	Reiwa	01	004
昭和30年/330AC1000000186_20150801_000000000000000.xml	昭和三十年法律第百八十六号	原子力基本法	Act	Showa	30	186
平成5年/405M50000400077_20190401_429M60000400082.xml	平成五年通商産業省令第七十七号	指定製造事業者の指定等に関する省令	MinisterialOrdinance	Heisei	05	077
平成20年/420M60000100177_20161001_000000000000000.xml	平成二十年厚生労働省令第百七十七号	雇用保険法等の一部を改正する法律附則第二十六条第四項に規定する厚生労働省令で定める事項を定める省令	MinisterialOrdinance	Heisei	20	177
平成25年/425M60000002075_20161001_000000000000000.xml	平成二十五年内閣府令第七十五号	首都直下地震対策特別措置法施行規則	MinisterialOrdinance	Heisei	25	75
平成15年/415AC1000000130_20150801_000000000000000.xml	平成十五年法律第百三十号	環境教育等による環境保全の取組の促進に関する法律	Act	Heisei	15	130
昭和41年/341M50000002037_20200401_430M60080000008.xml	昭和四十一年総理府令第三十七号	核燃料物質の加工の事業に関する規則	MinisterialOrdinance	Showa	41	37
昭和40年/340CO0000000287_20150801_000000000000000.xml	昭和四十年政令第二百八十七号	国際復興開発銀行等からの外資の受入に関する特別措置に関する法律に基づき政府が保証契約をすることができる法人を定める政令	CabinetOrder	Showa	40	287
平成26年/426RJNJ21000000_20200401_502RJNJ21000009.xml	平成二十六年人事院規則二一―〇	人事院規則二一―〇（国と民間企業との間の人事交流）	Rule	Heisei	26	
昭和28年/328CO0000000322_20150801_000000000000000.xml	昭和二十八年政令第三百二十二号	元南西諸島官公署職員等の身分、恩給等の特別措置に関する法律施行令	CabinetOrder	Showa	28	322
昭和46年/346CO0000000300_20180401_430CO0000000055.xml	昭和四十六年政令第三百号	廃棄物の処理及び清掃に関する法律施行令	CabinetOrder	Showa	46	300
平成17年/417CO0000000008_20150801_000000000000000.xml	平成十七年政令第八号	民間事業者等が行う書面の保存等における情報通信の技術の利用に関する法律施行令	CabinetOrder	Heisei	17	8
平成6年/406M50400000003_20190701_501M60400000003.xml	平成六年国家公安委員会規則第三号	技能検定員審査等に関する規則	Rule	Heisei	06	003
昭和25年/325CO0000000078_20180401_430CO0000000054.xml	昭和二十五年政令第七十八号	身体障害者福祉法施行令	CabinetOrder	Showa	25	78
平成24年/424M60000400040_20161001_000000000000000.xml	平成二十四年経済産業省令第四十号	福島復興再生特別措置法第五十条の規定による特定健康診査等に関する記録の提供に関する省令	MinisterialOrdinance	Heisei	24	040
